gridSize,steps,Serial Time,NUM_THREADS,Parallel Section Time,Parallel Total Time
500,600,1729.12,2,943.58,944.05
500,600,1729.12,4,580.39,580.94
500,600,1729.12,8,783.28,783.75
500,1000,2902.13,2,1570.63,1571.17
500,1000,2902.13,4,1002.83,1003.31
500,1000,2902.13,8,2651.34,2651.81
1000,600,7139.48,2,3721.78,3722.31
1000,600,7139.48,4,2210.52,2211.06
1000,600,7139.48,8,2726.83,2727.36
1000,1000,12027.42,2,6275.74,6276.29
1000,1000,12027.42,4,3826.36,3826.91
1000,1000,12027.42,8,5522.26,5522.78
